id,ProductName,Brand,Category,Level1,Level2,Level3,OnlinePriceGHS,InStorePriceGHS,imageFile,ImagePath,AltText,CategorySlug,LevelSlugs,ShopSearchText
DG0058,Golden Science  Textbook for Basic 4,Golden,Textbooks,Basic 4,,,65,60,golden-science-texbook-basic-4.webp,\products\golden-science-texbook-basic-4.webp,Golden Science  Textbook for Basic 4 - Basic 4 | DeeGlobalGH,textbooks,basic-4,golden science textbook for basic 4 golden textbooks basic 4
DG0059,Golden Science  Textbook for Basic 5,Golden,Textbooks,Basic 5,,,65,60,golden-science-texbook-basic-5.webp,\products\golden-science-texbook-basic-5.webp,Golden Science  Textbook for Basic 5 - Basic 5 | DeeGlobalGH,textbooks,basic-5,golden science textbook for basic 5 golden textbooks basic 5
DG0060,Golden Science  Textbook for Basic 6,Golden,Textbooks,Basic 6,,,65,60,golden-science-texbook-basic-6.webp,\products\golden-science-texbook-basic-6.webp,Golden Science  Textbook for Basic 6 - Basic 6 | DeeGlobalGH,textbooks,basic-6,golden science textbook for basic 6 golden textbooks basic 6
DG0061,Golden Science  Textbook for JHS,Golden,JHS Combined Edition Textbooks,JHS 1,JHS 2,JHS 3,160,150,golden-science-texbook-jhs-1-3.webp,\products\golden-science-texbook-jhs-1-3.webp,Golden Science  Textbook for JHS - JHS 1 | DeeGlobalGH,jhs-combined-edition-textbooks,jhs-1|jhs-2|jhs-3,golden science textbook for jhs golden jhs combined edition textbooks jhs 1 jhs 2 jhs 3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,id,DG0016,,,,,
,,,,,,,,,,,,,,
,,,,,,,,ProductName,Excellence Mathematics Textbook For JHS,,,,,
,,,,,,,,,,,,,,
,,,,,,,,OnlinePriceGHS,160,,,,,
,,,,,,,,,,,,,,
,,,,,,,,CategorySlug,jhs-combined-edition-textbooks,,,,,
,,,,,,,,,,,,,,
,,,,,,,,LevelSlugs,jhs-1|jhs-2|jhs-3,,,,,
,,,,,,,,,,,,,,
,,,,,,,,imageFile,excellence-mathematics-textbook-jhs-1-3.webp,,,,,
